ABSTRACT?target???words,,,ABSTRACT?target???words,,,concrete???objects?(SIZE-MATCHED?triplets),,
,BIG,,,SMALL,,Word?1,Word?2,Word?3
Having,zeal,is like a(n),Having,meek,is like a(n),crab,crow,frog
Having,zeal,is like a(n),Having,meek,is like a(n),smoke,attic,drums
To,roar,is like a(n),To,hush,is like a(n),turf,cafe,swim
To,roar,is like a(n),To,hush,is like a(n),actor,nurse,guard
To,bang,is like a(n),To,tidy,is like a(n),reindeer,kangaroo,antelope
To,bang,is like a(n),To,tidy,is like a(n),lemonade,leggings,broccoli
Being,loud,is like a(n),Being,hint,is like a(n),golfer,picket,skiing
Being,loud,is like a(n),Being,hint,is like a(n),runner,dancer,banker
Being,rich,is like a(n),Being,pity,is like a(n),piston,mallet,pelvis
Being,rich,is like a(n),Being,pity,is like a(n),rheumatism,astronomer,blacksmith
Being,huge,is like a(n),Being,rare,is like a(n),parsley,whistle,sandals
Being,huge,is like a(n),Being,rare,is like a(n),astronomer,chimpanzee,bridegroom
Being,wide,is like a(n),Being,soon,is like a(n),shawl,spade,broom
Being,wide,is like a(n),Being,soon,is like a(n),doorman,grenade,bayonet
Being,sure,is like a(n),Being,near,is like a(n),kite,veil,tyre
Being,sure,is like a(n),Being,near,is like a(n),dancer,waiter,musket
To,boast,is like a(n),To,amuse,is like a(n),cathedral,fireworks,spaceship
To,boast,is like a(n),To,amuse,is like a(n),yeast,ashes,paste
Having,greed,is like a(n),Having,haste,is like a(n),lace,heel,fork
Having,greed,is like a(n),Having,haste,is like a(n),leggings,lemonade,slippers
To,smash,is like a(n),To,shrug,is like a(n),attic,altar,creek
To,smash,is like a(n),To,shrug,is like a(n),perfume,sausage,compass
A,quest,is like a(n),A,frail,is like a(n),blender,beehive,ketchup
A,quest,is like a(n),A,frail,is like a(n),actress,pianist,sunburn
Having,agony,is like a(n),Having,bland,is like a(n),plug,fork,lace
Having,agony,is like a(n),Having,bland,is like a(n),knit,mink,vase
Having,gloom,is like a(n),Having,weird,is like a(n),leggings,lemonade,necklace
Having,gloom,is like a(n),Having,weird,is like a(n),glove,flask,flute
Being,eager,is like a(n),Being,trick,is like a(n),volcano,titanic,glacier
Being,eager,is like a(n),Being,trick,is like a(n),peach,flute,badge
Having,glory,is like a(n),Having,pause,is like a(n),beaker,wrench,binder
Having,glory,is like a(n),Having,pause,is like a(n),leggings,slippers,broccoli
Being,brave,is like a(n),Being,trace,is like a(n),wallet,banana,sweets
