ABSTRACT?target???words,,,ABSTRACT?target???words,,,concrete???objects?(SIZE-VARYING?triplets),,
,BIG,,,SMALL,,Big,Medium,Small
Having,zeal,is like a(n),Having,meek,is like a(n),lake,pack,belt
Having,zeal,is like a(n),Having,meek,is like a(n),jungle,bandit,gravel
To,roar,is like a(n),To,hush,is like a(n),monument,wardrobe,notebook
To,roar,is like a(n),To,hush,is like a(n),sewer,novel,ankle
To,bang,is like a(n),To,tidy,is like a(n),plantation,chandelier,microscope
To,bang,is like a(n),To,tidy,is like a(n),campus,armour,gloves
Being,loud,is like a(n),Being,hint,is like a(n),statue,trophy,gravel
Being,loud,is like a(n),Being,hint,is like a(n),supermarket,bridesmaids,caterpillar
Being,rich,is like a(n),Being,pity,is like a(n),sunrise,drummer,bandage
Being,rich,is like a(n),Being,pity,is like a(n),beach,motor,plate
Being,huge,is like a(n),Being,rare,is like a(n),galaxy,heater,cavity
Being,huge,is like a(n),Being,rare,is like a(n),politician,legislator,microscope
Being,wide,is like a(n),Being,soon,is like a(n),hippo,llama,skunk
Being,wide,is like a(n),Being,soon,is like a(n),volcano,kissing,bandage
Being,sure,is like a(n),Being,near,is like a(n),rhinoceros,pharmacist,toothbrush
Being,sure,is like a(n),Being,near,is like a(n),ballroom,tapestry,ornament
To,boast,is like a(n),To,amuse,is like a(n),sky,van,bag
To,boast,is like a(n),To,amuse,is like a(n),parachute,fireplace,blueberry
Having,greed,is like a(n),Having,haste,is like a(n),rhinoceros,chandelier,microscope
Having,greed,is like a(n),Having,haste,is like a(n),temple,guitar,flower
To,smash,is like a(n),To,shrug,is like a(n),lagoon,pulpit,walnut
To,smash,is like a(n),To,shrug,is like a(n),orchard,pianist,bandage
A,quest,is like a(n),A,frail,is like a(n),supermarket,bridesmaids,stethoscope
A,quest,is like a(n),A,frail,is like a(n),cinema,carpet,button
Having,agony,is like a(n),Having,bland,is like a(n),casino,heroin,shrimp
Having,agony,is like a(n),Having,bland,is like a(n),ship,bath,card
Having,gloom,is like a(n),Having,weird,is like a(n),skyscraper,blacksmith,toothbrush
Having,gloom,is like a(n),Having,weird,is like a(n),fort,sofa,cork
Being,eager,is like a(n),Being,trick,is like a(n),mansion,luggage,compass
Being,eager,is like a(n),Being,trick,is like a(n),cemetery,bookcase,lemonade
Having,glory,is like a(n),Having,pause,is like a(n),airplane,crossbow,dandruff
Having,glory,is like a(n),Having,pause,is like a(n),helicopter,prosecutor,toothbrush
Being,brave,is like a(n),Being,trace,is like a(n),sewer,altar,cigar
Being,brave,is like a(n),Being,trace,is like a(n),skyline,hallway,biscuit
,panic,is like a(n),,tight,is like a(n),rhino,zebra,snail
